Venue,"Match Date","Team 1","Team 2","Group Name"
"TRA HIGH SCHOOL","2025-02-08 07:00 AM","Jolly Cricketers Cricket Club","Verticurl CC","GROUP K"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-08 07:00 AM",SME,"TDT Raptors","GROUP F"
"Emerald Cricket Ground","2025-02-08 07:00 AM",ACIDUS,"Elite elevens","GROUP P"
"TRA HIGH SCHOOL","2025-02-08 08:30 AM",Texila,"Super Strikers Cricket(SSC)","GROUP U"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-08 08:30 AM","Nurtur Knights",FORVIA,"GROUP D"
"Emerald Cricket Ground","2025-02-08 08:30 AM","Information Evolution CBE",Aximsoft,"GROUP I"
"TRA HIGH SCHOOL","2025-02-08 10:00 AM","Verticurl CC",Hoffensoft,"GROUP K"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-08 10:00 AM","RPM GBCC","SLB, Cameron","GROUP F"
"Emerald Cricket Ground","2025-02-08 10:00 AM","Quinbay Mavericks","Hawkeye Digitech","GROUP I"
"TRA HIGH SCHOOL","2025-02-08 11:30 AM",Texila,SPANians,"GROUP U"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-08 11:30 AM","CAX Strikers",FORVIA,"GROUP D"
"Emerald Cricket Ground","2025-02-08 11:30 AM",Taigha,"MKS Warriors","GROUP E"
"TRA HIGH SCHOOL","2025-02-08 12:00 PM","Super Strikers Cricket(SSC)",SPANians,"GROUP U"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-08 01:00 PM",SME,"RPM GBCC","GROUP F"
"Emerald Cricket Ground","2025-02-08 01:00 PM",Aximsoft,"Hawkeye Digitech","GROUP I"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-08 02:30 PM","TDT Raptors","SLB, Cameron","GROUP F"
"Emerald Cricket Ground","2025-02-08 02:30 PM","Information Evolution CBE","Quinbay Mavericks","GROUP I"
"TRA HIGH SCHOOL","2025-02-09 07:00 AM","Petrus United CC",ACIDUS,"GROUP P"
