"Group Name","Team Name","Match Preference"
"GROUP A",Qbss,"Only Saturdays"
"GROUP A",ZPCC,"Only Saturdays"
"GROUP A",Meltwater,"Only Saturdays"
"GROUP A",VisteonCorporate,"Only Saturdays"
"GROUP B","Indus Novateur","Only Sundays"
"GROUP B","Aegiiz Technologies","Only Sundays"
"GROUP B","GVR CHAMPS","Only Saturdays"
"GROUP B","Imerit Tech","Only Sundays"
"GROUP C","Wizards of Whizlabs","Only Saturdays"
"GROUP C","Stump Stunners","Only Saturdays"
"GROUP C","Enthutech CC","Only Saturdays"
"GROUP C","Exterro Cricket County","Only Saturdays"
"GROUP D","CAX Strikers","Only Saturdays"
"GROUP D","Nurtur Knights","Only Saturdays"
"GROUP D",FORVIA,"Only Saturdays"
"GROUP D",AppViewX,"Only Saturdays"
"GROUP E",Taigha,"Any Day"
"GROUP E",Avantor,"Only Saturdays"
"GROUP E","MKS Warriors","Only Saturdays"
"GROUP E",Apexon,"Only Saturdays"
"GROUP F",SME,"Only First Week"
"GROUP F","RPM GBCC","Only First Week"
"GROUP F","TDT Raptors","Any Day"
"GROUP F","SLB, Cameron","Only First Week"
"GROUP G","Dsignz Media","Only Third Week"
"GROUP G","Cloud Destinations","Any Day"
"GROUP G","Emergere CC","Only Third Week"
"GROUP H",IGNITERS,"Only Third Week"
"GROUP H","Bosch Corporate","Only Third Week"
"GROUP H","Cotiviti Cricket Club","Only Third Week"
"GROUP H","COREFORCE STRIKERS","Only Third Week"
"GROUP I","Quinbay Mavericks","Only Saturdays"
"GROUP I","Hawkeye Digitech","Only Saturdays"
"GROUP I",Aximsoft,"Only Saturdays"
"GROUP J",Timbertruss,"Only Second Week"
"GROUP J","Caliber CC","Only Second Week"
"GROUP J","SPARTANS 2.0","Only First Week"
"GROUP K","Ace Panthers","Only Saturdays"
"GROUP K","Verticurl CC","Only Saturdays"
"GROUP K","Jolly Cricketer (Capgemini)","Only Saturdays"
"GROUP K",Hoffensoft,"Only Saturdays"
"GROUP L","Defenders Cricket Club","Only Second Week"
"GROUP L","Atmecs cricket club","Only Second Week"
"GROUP L","Kavin Engineering","Only Second Week"
"GROUP L","Infognana Solutions","Only Second Week"
"GROUP M","Super Strikers","Only Sundays"
"GROUP M",Kirtilals,"Only Sundays"
"GROUP M","Gtn engineering","Only Sundays"
"GROUP M",VAF,"Only Sundays"
"GROUP N","Statestreet Thunders","Only Third Week"
"GROUP N","Craft Interactive Technologies Pvt Ltd","Only Third Week"
"GROUP N","Mettler Super Kings","Only Third Week"
"GROUP N","Maxval CC","Only Saturdays"
"GROUP O",Calpion,"Only Second Week"
"GROUP O","Texcoms XI","Only Sundays"
"GROUP O","Sreeram Cricket Club","Only Sundays"
"GROUP O","adamsbridge Cricket Club","Only Sundays"
"GROUP P","Petrus United CC","Only Saturdays"
"GROUP P",ACIDUS,"Only First Week"
"GROUP P","Petro Sky CC","Only First Week"
"GROUP P","Elite elevens","Only First Week"
"GROUP Q",NobleServe,"Only Sundays"
"GROUP Q",SGS&co,"Only Sundays"
"GROUP Q","Propel Spartans","Only Saturdays"
"GROUP Q","Vserve Cricket Club","Only Sundays"
"GROUP R",Accenture,"Only Third Week"
"GROUP R","Infosys corporate cricket club","Only Third Week"
"GROUP R",Blueocean,"Only Third Week"
"GROUP R","Ventra Health","Only Third Week"
"GROUP S","SAKTHI STRAIKERS","Only Sundays"
"GROUP S","PRICOL CHAMPS","Only Saturdays"
"GROUP S","Sascom engineering","Only Sundays"
"GROUP S",IamNeo,"Only Sundays"
"GROUP T","Logic Valley Technologies","Only Saturdays"
"GROUP T","Power Pacers","Only Saturdays"
"GROUP T",Pro-11,"Only Sundays"
"GROUP T","KOVAI SUPER KINGS JIO","Any Day"
"GROUP U","Titans Cricket club","Only Saturdays"
"GROUP U","Super Strikers Cricket(SSC)","Only Saturdays"
"GROUP U",Texila,"Only Saturdays"
"GROUP U",SPANians,"Only Saturdays"
"GROUP G",Hunters,"Only Third Week"
"GROUP V","Colruyt Super Kings","Only Saturdays"
"GROUP V","PRICOL TITANS","Only Sundays"
"GROUP V","Shrewd Warriors","Only Saturdays"
"GROUP V",CGCC,"Only Saturdays"
"GROUP W","Calpion software Technologies","Only Sundays"
"GROUP W","Ventra Velocity Vipers","Any Day"
"GROUP W","Yosi Super Kings","Any Day"
"GROUP W","Sri Ramakrishna Engineering College","Any Day"
"GROUP X",Mazenet,"Only Sundays"
"GROUP X",SANDFITS,"Only Sundays"
"GROUP X","Black pearls","Any Day"
"GROUP X",V11z,"Only Sundays"
"GROUP J","Envision Thriller Guys","Only Third Week"
"GROUP I","Information Evolution CBE","Only Saturdays"
